family,corpus_all_count,corpus_all_share,corpus_recent_2016_count,corpus_recent_2016_share,h5_transparent_top100_count,h5_transparent_top100_share,h5_reranker_top100_count,h5_reranker_top100_share,h5_surface_top100_count,h5_surface_top100_share,h5_shortlist_top100_count,h5_shortlist_top100_share,h10_transparent_top100_count,h10_transparent_top100_share,h10_reranker_top100_count,h10_reranker_top100_share,h10_surface_top100_count,h10_surface_top100_share,h10_shortlist_top100_count,h10_shortlist_top100_share
carbon emissions,10536,0.004144722245388328,9551,0.008366240018500157,9,0.045,15,0.075,43,0.215,29,0.145,9,0.045,16,0.08,42,0.21,29,0.145
digital economy,1128,0.0004437401948365636,1127,0.0009872005550046776,0,0.0,0,0.0,3,0.015,5,0.025,0,0.0,0,0.0,1,0.005,2,0.01
energy consumption,1994,0.0007844130749149891,1471,0.0012885288521844549,2,0.01,2,0.01,10,0.05,9,0.045,2,0.01,2,0.01,9,0.045,9,0.045
environmental pollution,764,0.0003005474369283108,673,0.0005895172790755528,0,0.0,1,0.005,7,0.035,7,0.035,0,0.0,1,0.005,7,0.035,7,0.035
environmental quality,1679,0.0006604962651866935,1302,0.0011404925666513666,0,0.0,1,0.005,12,0.06,8,0.04,0,0.0,1,0.005,13,0.065,8,0.04
financial development,2080,0.0008182443309043016,1757,0.0015390517969327583,0,0.0,2,0.01,6,0.03,8,0.04,0,0.0,2,0.01,6,0.03,8,0.04
green innovation,1165,0.0004582955026459189,1155,0.0010117272768681478,0,0.0,5,0.025,14,0.07,16,0.08,0,0.0,5,0.025,13,0.065,14,0.07
income tax rate,601,0.00023642540522763716,212,0.00018570232268056046,0,0.0,1,0.005,4,0.02,5,0.025,0,0.0,1,0.005,7,0.035,7,0.035
price changes,734,0.00028874583600180644,239,0.00020935309019176393,0,0.0,0,0.0,4,0.02,4,0.02,0,0.0,0,0.0,4,0.02,6,0.03
renewable energy consumption,2342,0.0009213116456624396,2230,0.001953378205554952,2,0.01,2,0.01,6,0.03,6,0.03,2,0.01,2,0.01,6,0.03,6,0.03
state of the business cycle,762,0.0002997606635332105,291,0.00025490271650963726,0,0.0,5,0.025,12,0.06,13,0.065,0,0.0,6,0.03,15,0.075,17,0.085
technological innovation,1467,0.0005770982853060627,1386,0.0012140727322417775,0,0.0,1,0.005,7,0.035,9,0.045,0,0.0,1,0.005,5,0.025,6,0.03
willingness to pay,1920,0.0007553024592962784,1080,0.0009460307004481382,0,0.0,1,0.005,11,0.055,11,0.055,0,0.0,2,0.01,12,0.06,11,0.055
